motorista_id;nome;sobrenome;empresa;regiao;rating;tempo_ativo_meses;categoria_carro;idade;modelo_carro;nota_motorista;genero
1;Lucas;Pereira;MoveX;Zona Norte;398;7;Black;43;VW Taos 2023;4.55;Masculino
2;Julia;Vieira;MoveX;Zona Norte;121;32;Black;34;VW Taos 2023;4.86;Feminino
3;Carla;Soares;RideUp;Zona Norte;351;53;Black;58;Jeep Commander 2023;4.08;Masculino
4;Camila;Souza;RideUp;Zona Norte;293;53;Black;43;Honda Civic 2022;4.09;Feminino
5;Bernardo;Carvalho;GoDrive;Centro;210;29;Econômico;27;VW Polo Track 2023;4.97;Masculino
6;Heloísa;Alves;GoDrive;Zona Norte;76;59;Econômico;48;Renault Kwid 2024;4.68;Feminino
7;Ana;Fernandes;RideUp;Centro;291;54;Black;24;Jeep Commander 2023;4.49;Feminino
8;Camila;Souza;GoDrive;Zona Leste;308;17;Econômico;31;Hyundai HB20 2023;4.18;Masculino
9;Lucas;Fernandes;GoDrive;Zona Sul;248;9;Econômico;39;Chevrolet Onix 2022;4.81;Feminino
10;Heloísa;Alves;MoveX;Zona Sul;195;50;Black;41;Toyota Corolla 2024;4.59;Feminino
11;Arthur;Gomes;MoveX;Zona Oeste;145;39;Econômico;57;Chevrolet Onix 2022;4.95;Feminino
12;Gael;Carvalho;RideUp;Zona Leste;353;55;Black;22;Jeep Compass 2023;4.15;Masculino
13;Gael;Carvalho;RideUp;Zona Sul;490;13;Comfort;57;Chevrolet Tracker 2022;4.58;Masculino
14;Ana;Pereira;GoDrive;Zona Sul;32;53;Comfort;52;Nissan Kicks 2022;4.71;Masculino
15;Arthur;Ribeiro;MoveX;Zona Sul;340;43;Econômico;46;Fiat Argo 2021;4.78;Feminino
16;Matheus;Silva;GoDrive;Centro;241;60;Econômico;57;VW Polo Track 2023;4.54;Feminino
17;Ana;Fernandes;RideUp;Zona Oeste;113;22;Econômico;47;Citroën C3 2023;4.55;Masculino
18;Matheus;Carvalho;RideUp;Centro;357;44;Econômico;50;Hyundai HB20 2023;4.46;Masculino
